english,hebrew
stretch,לִמְתוֹחַ
strike,לְהַכּוֹת
string,חוּט
strip,לְהִתְפַּשֵׁט
stroke,שבץ
strong,חָזָק
strongly,בְּתוֹקֶף
structure,מִבְנֶה
struggle,מַאֲבָק
student,סטוּדֶנט
studio,סטוּדִיוֹ
study,לימוד
stuff,דברים
stupid,מְטוּפָּשׁ
style,סִגְנוֹן
subject,נושא
submit,שלח
subsequent,לאחר מכן
substance,חומר
substantial,מַמָשִׁי
succeed,מצליח
success,הַצלָחָה
successful,מוּצלָח
successfully,בְּהַצלָחָה
such,כגון
sudden,פִּתְאוֹמִי
suddenly,פִּתְאוֹם
sue,לתבוע
suffer,סובל
sufficient,מַסְפִּיק
sugar,סוכר
suggest,לְהַצִיעַ
suggestion,הַצָעָה
suicide,הִתאַבְּדוּת
suit,חליפה
summer,קַיִץ
summit,פִּסגָה
sun,שמש
super,סוּפֶּר
supply,לְסַפֵּק
support,תמיכה
supporter,תוֹמֵך
suppose,לְהַנִיחַ
supposed,אמור
Supreme,עֶלִיוֹן
sure,בטוח
surely,בוודאות
surface,משטח
surgery,כִּירוּרגִיָה
surprise,הַפתָעָה
surprised,מוּפתָע
surprising,מַפתִיעַ
surprisingly,למרבה ההפתעה
surround,לְהַקִיף
survey,סֶקֶר
survival,הישרדות
survive,לִשְׂרוֹד
survivor,ניצול
suspect,חָשׁוּד
sustain,לִתְמוֹך
swear,לְקַלֵל
sweep,לְטַאטֵא
sweet,מתוק
swim,לשחות
swing,נַדְנֵדָה
switch,החלף
symbol,סֵמֶל
symptom,סימפטום
system,מערכת
table,שולחן
tablespoon,כַּף
tactic,טקטיקה
tail,זָנָב
take,לקחת
tale,מַעֲשִׂיָה
talent,כִּשָׁרוֹן
talk,דבר
tall,גובה
tank,טַנק
tap,בֶּרֶז
tape,סרט הדבקה
target,יַעַד
task,מְשִׁימָה
taste,טַעַם
tax,מַס
taxpayer,נישום
tea,תה
teach,לְלַמֵד
teacher,מוֹרֶה
teaching,הוֹרָאָה
team,קְבוּצָה
tear,דמעה
teaspoon,כַּפִּית
technical,טֶכנִי
technique,טֶכנִיקָה
technology,טֶכנוֹלוֹגִיָה
teen,נער
teenager,מִתבַּגֵר
telephone,טֵלֵפוֹן
telescope,טֵלֶסקוֹפּ
television,טֵלֶוִיזִיָה
tell,לאמר
temperature,טֶמפֶּרָטוּרָה
temporary,זמני
ten,עשר
tend,נוטה
tendency,מְגַמָה
tennis,טֶנִיס
tension,מתח
tent,אוֹהֶל
term,טווח
terms,תנאים
terrible,נורא
territory,שֶׁטַח
terror,טֵרוֹר
terrorism,טֵרוֹר
terrorist,מְחַבֵּל
test,מִבְחָן
testify,לְהַעִיד
testimony,עֵד
testing,בדיקה
text,טֶקסט
than,מאשר
thank,להודות
thanks,תודה
that,זֶה
the,ה
theater,תיאטרון
their,שֶׁלָהֶם
them,אוֹתָם
theme,נושא
themselves,עצמם
then,לאחר מכן
theory,תֵאוֹרִיָה
therapy,תֶרַפּיָה
there,שם
therefore,לָכֵן
these,אלה
they,הֵם
thick,עבה
thin,רזה
thing,דָבָר
think,לַחשׁוֹב
thinking,חושב
third,שְׁלִישִׁי
thirty,שְׁלוֹשִׁים
this,זֶה
those,הָהֵן
though,עם זאת
thought,מַחֲשָׁבָה
thousand,אלף
threat,אִיוּם
threaten,מאיים
three,שְׁלוֹשָׁה
throat,גרון
through,דרך
throughout,בְּמֶשֶך
throw,לזרוק
thus,לכן
ticket,כַּרְטִיס
tie,עניבה
tight,הדוק
time,זְמַן
tiny,זָעִיר
tip,עֵצָה
tire,צמיג
tired,עייף
tissue,רִקמָה
title,כותרת
to,ל
tobacco,טַבָּק
today,היום
toe,אֶצבַּע
together,יַחַד
tomato,עגבנייה
tomorrow,מָחָר
tone,טוֹן
tongue,לָשׁוֹן
tonight,היום בלילה
too,גַם
tool,כְּלִי
tooth,שן
top,חלק עליון
topic,נוֹשֵׂא
toss,לִזרוֹק
total,סך הכל
totally,לְגַמרֵי
touch,לגעת
tough,קָשֶׁה
tour,סיור
tourist,תייר
tournament,טורניר
toward,לקראת
towards,לִקרַאת
tower,מִגדָל
town,העיר
toy,צַעֲצוּעַ
trace,זֵכֶר
track,מַסלוּל
trade,סַחַר
tradition,מָסוֹרֶת
traditional,מָסוֹרתִי
traffic,תְנוּעָה
tragedy,טרגדיה
trail,שביל
train,רכבת
training,הַדְרָכָה
transfer,לְהַעֲבִיר
transform,שינוי צורה
transformation,טרנספורמציה
transition,מַעֲבָר
translate,לתרגם
transportation,הוֹבָלָה
travel,לִנְסוֹעַ
treat,טיפול
treatment,יַחַס
treaty,אֲמָנָה
tree,עֵץ
tremendous,עָצוּם
trend,מְגַמָה
trial,ניסוי
tribe,שֶׁבֶט
trick,טריק
trip,טיול
troop,גְדוּד
trouble,צרה
truck,מַשָׂאִית
TRUE,נָכוֹן
truly,בֶּאֱמֶת
trust,אמון
truth,אֶמֶת
try,לְנַסוֹת
tube,צינור
tunnel,מִנהָרָה
turn,תור
TV,טֵלֶוִיזִיָה
twelve,שתיים עשרה
twenty,עשרים
twice,פעמיים
twin,תְאוֹם
two,שתיים
type,סוּג
typical,טיפוסי
typically,בדרך כלל
ugly,מְכוֹעָר
ultimate,סופי
ultimately,בסופו של דבר
unable,לא מסוגל
uncle,דוֹד
under,תַחַת
undergo,לַעֲבוֹר
understand,מבין
understanding,הֲבָנָה
unfortunately,לצערי
uniform,מדים
union,הִתאַחֲדוּת
unique,ייחודי
unit,יחידה
United,מאוחד
universal,אוניברסלי
universe,עוֹלָם
university,אוּנִיבֶרְסִיטָה
unknown,לא ידוע
unless,אֶלָא אִם
unlike,בניגוד
unlikely,לא סביר
until,עד
unusual,בלתי שגרתי
up,לְמַעלָה
upon,עַל
upper,עֶלִיוֹן
urban,עִירוֹנִי
urge,דַחַף
us,לָנוּ
use,להשתמש
used,בשימוש
useful,מוֹעִיל
user,מִשׁתַמֵשׁ
usual,רָגִיל
usually,בְּדֶרֶך כְּלַל
utility,תוֹעֶלֶת
vacation,חוּפשָׁה
valley,עֶמֶק
valuable,בעל ערך
value,ערך
variable,מִשְׁתַנֶה
variation,וָרִיאַצִיָה
variety,מגוון
various,שׁוֹנִים
vary,לְהִשְׁתַנוֹת
vast,עָצוּם
vegetable,ירקות
vehicle,רכב
venture,מיזם
version,גִרְסָה
versus,נגד
very,מאוד
vessel,כְּלִי שַׁיִט
veteran,ותיק
via,באמצעות
victim,קורבן
victory,ניצחון
video,וִידֵאוֹ
view,נוף
viewer,צוֹפֶה
village,כְּפָר
violate,לְהָפֵר
violation,הֲפָרָה
violence,אַלִימוּת
violent,אַלִים
virtually,כִּמעַט
virtue,מַעֲלָה
virus,נגיף
visible,גלוי
vision,חָזוֹן
visit,לְבַקֵר
visitor,אורח
visual,חָזוּתִי
vital,חִיוּנִי
voice,קוֹל
volume,כרך
volunteer,לְהִתְנַדֵב
vote,הַצבָּעָה
voter,בּוֹחֵר
vs,לעומת
vulnerable,פָּגִיעַ
wage,שָׂכָר
wait,לַחֲכוֹת
wake,לְהִתְעוֹרֵר
walk,לָלֶכֶת
wall,קִיר
wander,לשוטט
want,רוצה
war,מִלחָמָה
warm,נעים
warn,לְהַזהִיר
warning,אַזהָרָה
wash,לִשְׁטוֹף
waste,בזבוז
watch,שעון
water,מים
wave,גַל
way,דֶרֶך
we,אָנוּ
weak,חלש
wealth,עוֹשֶׁר
wealthy,עָשִׁיר
weapon,נֶשֶׁק
wear,לִלבּוֹשׁ
weather,מזג אוויר
wedding,חֲתוּנָה
week,שָׁבוּעַ
weekend,סוף שבוע
weekly,שְׁבוּעִי
weigh,לשקול
weight,מִשׁקָל
welcome,ברוך הבא
welfare,סעד
well,נו
west,מַעֲרָב
western,מערבי
wet,רָטוֹב
what,מה
whatever,מה שתגיד
wheel,גַלגַל
when,מתי
whenever,בְּכָל פַּעַם
where,איפה
whereas,ואילו
whether,האם
which,איזה
while,בזמן
whisper,לַחַשׁ
white,לבן
who,WHO
whole,כֹּל
whom,מִי
whose,של מי
why,למה
wide,רָחָב
widely,במידה רבה
widespread,נָפוֹץ
wife,אשה
wild,פְּרָאִי
will,רָצוֹן
willing,מוּכָן
win,לנצח
wind,רוּחַ
window,חַלוֹן
wine,יַיִן
wing,אֲגַף
winner,זוֹכֵה
winter,חוֹרֶף
wipe,לנגב
wire,חוּט
wisdom,חוכמה
wise,חכם
wish,בַּקָשָׁה
with,עם
withdraw,לָסֶגֶת
within,בְּתוֹך
without,לְלֹא
witness,עֵד
woman,אִשָׁה
wonder,פֶּלֶא
wonderful,נִפלָא
wood,עץ
wooden,מעץ
word,מִלָה
work,עֲבוֹדָה
worker,עוֹבֵד
working,עובד
works,עובד
workshop,סדנה
world,עוֹלָם
worried,מוּדְאָג
worry,דאגה
worth,שִׁוּוּי
would,היה
wound,פֶּצַע
wrap,לַעֲטוֹף
write,לִכתוֹב
writer,סוֹפֵר
writing,כְּתִיבָה
wrong,לא בסדר
yard,חָצֵר
yeah,כֵּן
year,שָׁנָה
yell,לִצְעוֹק
yellow,צהוב
yes,כן
yesterday,אתמול
yet,עדיין
yield,תְשׁוּאָה
you,אתה
young,צָעִיר
your,שֶׁלְךָ
yours,שלך
yourself,עַצמְךָ
youth,נוֹעַר
zone,אֵזוֹר
